20230731	19:09:00	3ec4cb88-2e1f-4b67-9c36-88522f4ec531	DELETE	undefined	/api/serie/series/2
20230731	19:09:50	060f7adf-85c9-46d4-8d8e-6d3a4ff0b4fa	GET	undefined	/api/serie/series/user-info
20230731	19:10:01	9f01d618-7e53-4557-b3ee-3b19d2eacb83	DELETE	undefined	/api/serie/series/64c7b946966b9d6a3ed3854a
20230731	19:10:15	ab9fa2ef-c15a-46cc-8c3d-e64191db4f98	DELETE	undefined	/api/serie/series/64c7b946966b9d6a3ed3854a
20230731	19:10:34	b2a529f9-1e28-43d7-b0ff-8fce81804362	DELETE	undefined	/api/serie/series/64c7b946966b9d6a3ed3854a
20230731	19:14:21	b878514c-4e34-4567-951a-190a3641833d	GET	undefined	/api/test/tests
20230731	19:14:28	23f3974c-bd2d-4b88-9354-8ca8df3fa40a	GET	undefined	/api/test/tests
20230731	19:15:18	2f77c81b-e390-404b-bdfe-7c25d08ae268	GET	undefined	/api/test/tests
20230731	19:15:54	07ffb662-179b-4cf2-9920-6513ebc9004f	GET	undefined	/api/test/tests
20230731	19:17:46	e58b4614-c5f0-46f3-aaf3-4eabe3bc75ec	GET	undefined	/api/test/tests/info-user
20230731	19:18:44	56c6fd97-8903-46c7-abdf-7d3594331dac	GET	undefined	/api/test/tests/info-user
20230731	19:21:44	6dfb9859-3a2d-48be-882c-e107ecf138c8	DELETE	undefined	/api/test/tests/64c7b946966b9d6a3ed3854a
20230731	19:21:54	799ab292-499a-49f1-85a3-90bf32c1a7ac	DELETE	undefined	/api/test/tests/64c7b946966b9d6a3ed3854a
20230731	19:22:26	a394e9e5-5358-4b81-ab27-daba12329d8a	DELETE	undefined	/api/test/tests/64c7b946966b9d6a3ed3854a
20230731	19:23:26	adc4794a-8238-4eee-b2e1-4fed67349be7	GET	undefined	/api/test/tests/64c7b946966b9d6a3ed3854a
20230731	19:23:38	b2e53601-6f77-4f97-bdf1-89a2a9977fe1	GET	undefined	/api/test/tests/64c7b946966b9d6a3ed3854a
20230731	19:25:31	b5fa19b5-c5fc-4bc0-bea8-053415f55ad1	GET	undefined	/api/test/tests/64c7b946966b9d6a3ed3854a
20230731	19:27:16	67126762-1b7f-49ff-9aea-34526846db96	GET	undefined	/api/test/tests/info-user
20230731	19:27:24	8f1c458d-03c0-46d5-ad4b-417aabab11d3	GET	undefined	/api/test/tests/info-user
20230731	19:28:16	e7948c4c-fb2a-47dc-84f1-07fe703f5f37	GET	undefined	/api/question/questions
